"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Afghanistan","AFG","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","25","27","29.3129581040981","27.9729852504581","","","",
"Australia","AUS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","644","653","662","671","677","687","692.172307073404","694.908609045821","","","",
"Austria","AUT","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","595","599","549","553","557","561","569","577.782516352353","","","",
"Belgium","BEL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","524","530","534","538","544","548","552","559.402466183024","","","",
"Bangladesh","BGD","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","3","3.13607046226273","","","",
"Bulgaria","BGR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","338","359","376","262","309","353","375","392.832555268321","","","",
"Brazil","BRA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","171","178","186","197","209","","","","","",
"Brunei Darussalam","BRN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470","452","464","484","510","","","","","",
"Bhutan","BTN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","34","37","41","47","57","","","","",
"Botswana","BWA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","97","101","105","113","124","133","","","","",
"Switzerland","CHE","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554","559","563","566","569","567","563","566.029951113912","","","",
"Chile","CHL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","140","147","154","161","170","174","184.35208121125","","","",
"China","CHN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","20","24","28","32","37","47","57.7182015584998","","","",
"Cyprus","CYP","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","521","552","570","582","623","659","675","531.641910864615","","","",
"Czech Republic","CZE","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","414","432","450","470","485","482","485.077746784347","","","",
"Germany","DEU","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","576","537","543","549","553","556","564","572.416964050864","","","",
"Denmark","DNK","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430","437","450","466","477","477.94591329416","480.081143785613","","","",
"Dominican Republic","DOM","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","100","107","112","119","125","128","","","","",
"Algeria","DZA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","89","91","95","101","109","112.068414610836","114.090427122791","","","",
"East Asia & Pacific (developing only)","EAP","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3727298368573","26.8590849934436","34.4442852268338","38.1970514318306","54.8614204327479","43.7190782987094","54.4334795777281","64.109675630131","","","",
"East Asia & Pacific (all income levels)","EAS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.6255764490665","83.9776630242469","87.8822041027426","91.8539239070879","105.963146815368","98.6413847611656","113.246254980749","119.400528176883","","","",
"Europe & Central Asia (developing only)","ECA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134.734491520338","137.488591115028","154.286998756932","158.065314549736","166.26364923439","178.296764310019","192.814367494042","199.401351889838","","","",
"Europe & Central Asia (all income levels)","ECS","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","355.571316864708","385.51928583402","397.132808435594","398.912380645575","415.351284801743","417.822941347836","452.590576164427","","","",
"Ecuador","ECU","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","56","61","66","60","64","60.5007578310246","71.2602557156406","","","",
"Euro area","EMU","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554.714947488583","544.888418039542","571.901403206865","577.521530058125","583.651449609351","587.17462837262","589.873497938608","593.449504089188","","","",
Spain","ESP","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","550","567","580","591","606","606","591.465176727515","592.865255650896","","","",
"Estonia","EST","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","427","459","477","485","453","477","471","476.103244311691","","","",
"European Union","EUU","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490.498801481984","492.48075299978","516.456352251003","523.636579289846","533.094519281829","540.711695153845","543.828857883436","547.414006767462","","","",
"Finland","FIN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","497","515","531","546","543","534","532","612.008870571986","","","",
"Fiji","FJI","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155","163","169","172","175","177","178.957569109819","","","",
"France","FRA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","594","595","596","598","598","598","598","580.017978790166","","","",
"United Kingdom","GBR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","496","510","517","521","527","526","523","518.549047380246","","","",
"Greece","GRC","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","453","475","497","519","560","564","609.962800753291","624.11338492271","","","",
"Guatemala","GTM","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9056205500067","52.6287727166997","26.7991042936207","","65.6804363772102","67.8878184748844","","","",
"High income","HIC","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","594.874214749984","537.725290545726","543.037732477408","557.841574203002","562.718997400322","571.787681701585","571.191986468436","620.467948734987","","","",
"Hong Kong SAR, China","HKG","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","73","71","71","72","73","74","76.9711932991879","","","",
"Croatia","HRV","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","356","337","349","363","377","388","384.111149794416","379.822770484382","","","",
"Hungary","HUN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","316","","365","375","384","351","347.620935789003","345.301705806077","","","",
"Indonesia","IDN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","39.8657035916898","46.9048458278575","180.481858722682","59.592735603248","","","","","",
"Ireland","IRL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","447","462","476","500","520","523","513","","","","",
"Iceland","ISL","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","656","685","724","748","772","767","746","745.466779440387","","","",
"Israel","ISR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285","288","292","296","305","313","316","321.788131591374","","","",
"Italy","ITA","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","667","677","663","669","672","679.411163908898","","","",
"Jamaica","JAM","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184","191","","120","191.380551900715","187.530992117826","","","",
"Jordan","JOR","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","109","116","126","138","144","154","164.970563915991","","","",
"Japan","JPN","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","581","587","592","594","592","592","592.859901222954","590.809382648045","","","",
